Group,Character,Label,Help,HelpShort,Status,ValueType,ControlType,Params,Weight,Latitude
,HeadColor,Coloration on head,What color is the head?,,key,text,single,,9,
,AbdomenColor,Unique: Coloration of abdomen,"What is the coloration on the sides of the abdomen? This feature has five options, each unique to one of the five species.",,key,text,single,,10,
,EyeColor,General coloration of eyes,What color are the eyes?,,key,text,single,,10,
,ForewingColor,Coloration on forewings,What color are the forewings?,,key,text,single,,10,
,Locality,Locality,Where was the organism found?,,key,text,single,,9,
